,label,text
1,1,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."""
2,0,Health care reform legislation is likely to mandate free sex change surgeries.
4,1,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.
8,1,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.
9,1,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin."
11,0,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it."
12,1,The economy bled $24 billion due to the government shutdown.
15,1,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' 
18,1,"Almost 100,000 people left Puerto Rico last year."
19,0,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.
20,1,The United States has the highest corporate tax rate in the free world.
21,1,We just had the best year for the auto industry in America in history.
24,0,I dont know who (Jonathan Gruber) is.
25,1,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.
27,0,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn."
28,1,Youth unemployment in minority communities is about 40 to 45 percent.
29,1,Says Paul Ryan is still endorsing Trump.
31,0,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.
32,1,We cut business taxes so today 70 percent of our businesses dont pay a business tax.
33,1,Says Mark Pryor votes with Obama 93 percent of the time.
34,1,We have a federal government that thinks they have the authority to regulate our toilet seats.
35,1,Austin is a city that has basically doubled in size every 25 years or so since it was founded.
36,1,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests."
37,0,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct."
38,1,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt."
39,0,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.
41,0,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company"
42,0,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.
43,0,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' 
45,0,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally."
46,0,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.
47,0,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.
48,1,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.
51,0,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.
52,1,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history"
57,0,Sen. Obama's campaign announced that he's choosing his cabinet.
58,1,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out."
59,0,Only 2 percent of public high schools in the country offer PE classes.
60,1,"Said he's the only Republican candidate ""who's actually turned around a government economy."""
61,1,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong."""
62,1,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools."
63,0,"Under Mayor Cicilline, [Providence] was a sanctuary city."
64,0,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.
65,1,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised."
66,0,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts."
69,1,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor."
71,1,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person."""
72,1,The only time in our history when the debt has been higher than this was the end of World War II.
